"NOMBRE","TIPO","DIRECCION","CLAUSURADO","ACTA","origin","DIRECCION.CLEAN","regexp","calle","numero"
NA,NA,"Lima Nº 1360, SS.,",NA,"4-287640","D1","lima no 1360 ss","^([a-z ]*)([0-9]+)","lima no  ss","1360 ss"
NA,NA,"AV. Francisco Beiró Nº 2390/2400 –frente N° 2395- PB",NA,"4-321837,4-321836,4-315909","D1","av francisco beiro no 2390/2400 -frente 2395- pb","^([a-z ]*)([0-9]+)","av francisco beiro no /2400 -frente 2395- pb","2390/2400 -frente 2395- pb"
NA,NA,"Bolivia Nº 252, PB",NA,"4-313944","D1","bolivia no 252 pb","^([a-z ]*)([0-9]+)","bolivia no  pb","252 pb"
NA,NA,"Cochabamba Nº 2528 PB/EP",NA,"4-288910,4-288911","D1","cochabamba no 2528 pb/ep","^([a-z ]*)([0-9]+)","cochabamba no  pb/ep","2528 pb/ep"
NA,NA,"Oliden N° 1864/90 PB/1°/2° Piso",NA,"4-303466","D1","oliden 1864/90 pb/1/2 piso","^([a-z ]*)([0-9]+)","oliden /90 pb/1/2 piso","1864/90 pb/1/2 piso"
NA,NA,"AV. Rivadavia Nº 2541 PB. y EP",NA,"4-321883,4-321882","D1","av rivadavia no 2541 pb y ep","^([a-z ]*)([0-9]+)","av rivadavia no  pb y ep","2541 pb y ep"
NA,NA,"Franklin Roosevelt Nº 3644/46 y calle Melián Nº 2594 PB. y EP",NA,"","D1","franklin roosevelt no 3644/46 y calle melian no 2594 pb y ep","^([a-z ]*)([0-9]+)","franklin roosevelt no /46 y calle melian no 2594 pb y ep","3644/46 y calle melian no 2594 pb y ep"
NA,NA,"Bahía Blanca N° 451 PB",NA,"","D1","bahia blanca 451 pb","^([a-z ]*)([0-9]+)","bahia blanca  pb","451 pb"
NA,NA,"Av. Elcano N° 3002/30,.",NA,"","D1","av elcano 3002/30","^([a-z ]*)([0-9]+)","av elcano /30","3002/30"
NA,NA,"GREGORIO DE LAFERRERE Nº 5831/33/37/41/45/49/51 y LARRAYA 2381 pb-pa-ep",NA,"","D1","gregorio de laferrere no 5831/33/37/41/45/49/51 y larraya 2381 pb-pa-ep","^([a-z ]*)([0-9]+)","gregorio de laferrere no /33/37/41/45/49/51 y larraya 2381 pb-pa-ep","5831/33/37/41/45/49/51 y larraya 2381 pb-pa-ep"
NA,NA,"Marcelo T. de Alvear 1276 PB",NA,"","D1","marcelo t de alvear 1276 pb","^([a-z ]*)([0-9]+)","marcelo t de alvear  pb","1276 pb"
NA,NA,"AV. Gaona Nº 2601/11/15 PB",NA,"","D1","av gaona no 2601/11/15 pb","^([a-z ]*)([0-9]+)","av gaona no /11/15 pb","2601/11/15 pb"
NA,NA,"Guatemala 4689/99, esquina Gurruchaga 2107, PB, PA y SS",NA,"","D1","guatemala 4689/99 esquina gurruchaga 2107 pb pa y ss","^([a-z ]*)([0-9]+)","guatemala /99 esquina gurruchaga 2107 pb pa y ss","4689/99 esquina gurruchaga 2107 pb pa y ss"
NA,NA,"AV. Corrientes Nº 5840/42/50 PB., 1º y 2º entrepiso",NA,"","D1","av corrientes no 5840/42/50 pb 1o y 2o entrepiso","^([a-z ]*)([0-9]+)","av corrientes no /42/50 pb 1o y 2o entrepiso","5840/42/50 pb 1o y 2o entrepiso"
NA,NA,"Monroe 5055/79 PB, EP, 1° piso y sótano (Díaz Colodrero N° 2430",NA,"","D1","monroe 5055/79 pb ep 1 piso y sotano (diaz colodrero 2430","^([a-z ]*)([0-9]+)","monroe /79 pb ep 1 piso y sotano (diaz colodrero 2430","5055/79 pb ep 1 piso y sotano (diaz colodrero 2430"
NA,NA,"Hubac 5764/68, PB",NA,"4-321985","D1","hubac 5764/68 pb","^([a-z ]*)([0-9]+)","hubac /68 pb","5764/68 pb"
NA,NA,"Alejandro Dumas 1971, PB",NA,"","D1","alejandro dumas 1971 pb","^([a-z ]*)([0-9]+)","alejandro dumas  pb","1971 pb"
NA,NA,"Av. San Martín 3237/41, PB, 1° piso y SS",NA,"","D1","av san martin 3237/41 pb 1 piso y ss","^([a-z ]*)([0-9]+)","av san martin /41 pb 1 piso y ss","3237/41 pb 1 piso y ss"
NA,NA,"Caaguazu 6151, PB",NA,"","D1","caaguazu 6151 pb","^([a-z ]*)([0-9]+)","caaguazu  pb","6151 pb"
NA,NA,"La Rioja Nº 476 PB",NA,"4-321982,4-321981","D1","la rioja no 476 pb","^([a-z ]*)([0-9]+)","la rioja no  pb","476 pb"
NA,NA,"Rio Cuarto Nº 2726 PB DPTO. 2",NA,"4-321742,4-321741,4-321740","D1","rio cuarto no 2726 pb dpto 2","^([a-z ]*)([0-9]+)","rio cuarto no  pb dpto 2","2726 pb dpto 2"
NA,NA,"Av. Saénz 855, PB Local 46/44 -UNIFICADOS",NA,"4-302691","D1","av saenz 855 pb local 46/44 -unificados","^([a-z ]*)([0-9]+)","av saenz  pb local 46/44 -unificados","855 pb local 46/44 -unificados"
NA,NA,"BILLINGHURST 529, planta baja",NA,"4-322378","D1","billinghurst 529 planta baja","^([a-z ]*)([0-9]+)","billinghurst  planta baja","529 planta baja"
NA,NA,"Av. Sáenz N° 855 Piso 1° Local 211",NA,"4-315842","D1","av saenz 855 piso 1 local 211","^([a-z ]*)([0-9]+)","av saenz  piso 1 local 211","855 piso 1 local 211"
NA,NA,"Av. Saénz 849/53/55, 1° piso, local/puesto 234/235",NA,"4-303943","D1","av saenz 849/53/55 1 piso local/puesto 234/235","^([a-z ]*)([0-9]+)","av saenz /53/55 1 piso local/puesto 234/235","849/53/55 1 piso local/puesto 234/235"
NA,NA,"Av. Cabildo 685, PB",NA,"4-288169","D1","av cabildo 685 pb","^([a-z ]*)([0-9]+)","av cabildo  pb","685 pb"
NA,NA,"GRAL. Gervasio José Artigas Nº 726 PB.,",NA,"4-322484,4-322483,4-322482","D1","gral gervasio jose artigas no 726 pb","^([a-z ]*)([0-9]+)","gral gervasio jose artigas no  pb","726 pb"
NA,NA,"Manuela Pedraza 6074, planta baja",NA,"4-252546","D1","manuela pedraza 6074 planta baja","^([a-z ]*)([0-9]+)","manuela pedraza  planta baja","6074 planta baja"
NA,NA,"Av. Saénz 855, PB Local 55",NA,"4-272069","D1","av saenz 855 pb local 55","^([a-z ]*)([0-9]+)","av saenz  pb local 55","855 pb local 55"
NA,NA,"AV. Saenz Nº 855 PB. –local N° 17,.",NA,"4-315848","D1","av saenz no 855 pb -local 17","^([a-z ]*)([0-9]+)","av saenz no  pb -local 17","855 pb -local 17"
NA,NA,"Arenales Nº 707,.",NA,"4-288569","D1","arenales no 707","^([a-z ]*)([0-9]+)","arenales no","707"
NA,NA,"AV. Asamblea 146, planta baja, 1° y 2° piso",NA,"4-313685,4-322107,4-322106","D1","av asamblea 146 planta baja 1 y 2 piso","^([a-z ]*)([0-9]+)","av asamblea  planta baja 1 y 2 piso","146 planta baja 1 y 2 piso"
NA,NA,"Av. Saenz 855, PB, local N° 125",NA,"4-272070","D1","av saenz 855 pb local 125","^([a-z ]*)([0-9]+)","av saenz  pb local 125","855 pb local 125"
NA,NA,"Defensa 751/59 PB, SS, 1°, 2° y Az. (y Chile 440/50),.",NA,"4-303291,4-288892","D1","defensa 751/59 pb ss 1 2 y az (y chile 440/50)","^([a-z ]*)([0-9]+)","defensa /59 pb ss 1 2 y az (y chile 440/50)","751/59 pb ss 1 2 y az (y chile 440/50)"
NA,NA,"Av. de Mayo N° 952 PB,.",NA,"4-3145808","D1","av de mayo 952 pb","^([a-z ]*)([0-9]+)","av de mayo  pb","952 pb"
NA,NA,"Av. Pedro de Mendoza Nº 3897/99 PB/EP/PA,.",NA,"4-321465,4-321466","D1","av pedro de mendoza no 3897/99 pb/ep/pa","^([a-z ]*)([0-9]+)","av pedro de mendoza no /99 pb/ep/pa","3897/99 pb/ep/pa"
NA,NA,"Constitución N° 1393 PB y EP,.",NA,"4-301153","D1","constitucion 1393 pb y ep","^([a-z ]*)([0-9]+)","constitucion  pb y ep","1393 pb y ep"
NA,NA,"Yerbal N° 3822, PB",NA,"4-322485,4-322486","D1","yerbal 3822 pb","^([a-z ]*)([0-9]+)","yerbal  pb","3822 pb"
NA,NA,"Bogotá Nº 3619, PB FONDO (pieza a la derecha).,",NA,"4-315282,4-315281","D1","bogota no 3619 pb fondo (pieza a la derecha)","^([a-z ]*)([0-9]+)","bogota no  pb fondo (pieza a la derecha)","3619 pb fondo (pieza a la derecha)"
NA,NA,"Av. Castañares 2547/49/51/53, PB y EP.,",NA,"","D1","av castanares 2547/49/51/53 pb y ep","^([a-z ]*)([0-9]+)","av castanares /49/51/53 pb y ep","2547/49/51/53 pb y ep"
NA,NA,"Av. Corrientes N° 857 PB",NA,"","D1","av corrientes 857 pb","^([a-z ]*)([0-9]+)","av corrientes  pb","857 pb"
NA,NA,"Sarmiento Nº 3122/28, PB, 1º y 2º Piso",NA,"4-322676","D1","sarmiento no 3122/28 pb 1o y 2o piso","^([a-z ]*)([0-9]+)","sarmiento no /28 pb 1o y 2o piso","3122/28 pb 1o y 2o piso"
NA,NA,"Azcuénaga 933/35",NA,"","D1","azcuenaga 933/35","^([a-z ]*)([0-9]+)","azcuenaga /35","933/35"
NA,NA,"BRANDSEN 805",NA,"","D1","brandsen 805","^([a-z ]*)([0-9]+)","brandsen","805"
NA,NA,"Agüero 1186, planta baja y 1° piso,.",NA,"","D1","aguero 1186 planta baja y 1 piso","^([a-z ]*)([0-9]+)","aguero  planta baja y 1 piso","1186 planta baja y 1 piso"
NA,NA,"Sarmiento 1892, planta baja, entre piso, 1° y 2° piso y azotea",NA,"","D1","sarmiento 1892 planta baja entre piso 1 y 2 piso y azotea","^([a-z ]*)([0-9]+)","sarmiento  planta baja entre piso 1 y 2 piso y azotea","1892 planta baja entre piso 1 y 2 piso y azotea"
NA,NA,"Juan Bautista Prímoli y Saladillo Nº 2085 Nº 7469/73/77/81/85 PB. y EP. .-LOC 101/109",NA,"","D1","juan bautista primoli y saladillo no 2085 no 7469/73/77/81/85 pb y ep -loc 101/109","^([a-z ]*)([0-9]+)","juan bautista primoli y saladillo no  no 7469/73/77/81/85 pb y ep -loc 101/109","2085 no 7469/73/77/81/85 pb y ep -loc 101/109"
NA,NA,"Armenia N° 1726 PB",NA,"4-302888","D1","armenia 1726 pb","^([a-z ]*)([0-9]+)","armenia  pb","1726 pb"
NA,NA,"Buera N° 123 PB.,1º a 4°piso",NA,"4-288475,4-288474,4-288473","D1","buera 123 pb1o a 4piso","^([a-z ]*)([0-9]+)","buera  pb1o a 4piso","123 pb1o a 4piso"
NA,NA,"México N° 2241 PB",NA,"4-289664,4-289665,4-289666,4-289667","D1","mexico 2241 pb","^([a-z ]*)([0-9]+)","mexico  pb","2241 pb"
NA,NA,"Francisco de Viedman 6839, PB,.",NA,"4-302301,302302,4-302303","D1","francisco de viedman 6839 pb","^([a-z ]*)([0-9]+)","francisco de viedman  pb","6839 pb"
NA,NA,"Av. Cabildo N° 2370 PB y EP- UF 92",NA,"4-256944","D1","av cabildo 2370 pb y ep- uf 92","^([a-z ]*)([0-9]+)","av cabildo  pb y ep- uf 92","2370 pb y ep- uf 92"
NA,NA,"Pavón N° 1109 PB y PA",NA,"4-302887","D1","pavon 1109 pb y pa","^([a-z ]*)([0-9]+)","pavon  pb y pa","1109 pb y pa"
NA,NA,"Pavón N° 1113/115 PB y PA",NA,"4-288472","D1","pavon 1113/115 pb y pa","^([a-z ]*)([0-9]+)","pavon /115 pb y pa","1113/115 pb y pa"
NA,NA,"Gorostiaga N° 2021 PB y PA",NA,"4-302889","D1","gorostiaga 2021 pb y pa","^([a-z ]*)([0-9]+)","gorostiaga  pb y pa","2021 pb y pa"
NA,NA,"Av. Santa Fe N° 4840 PB",NA,"4-273573","D1","av santa fe 4840 pb","^([a-z ]*)([0-9]+)","av santa fe  pb","4840 pb"
NA,NA,"Mendoza N° 1267",NA,"4-252548","D1","mendoza 1267","^([a-z ]*)([0-9]+)","mendoza","1267"
NA,NA,"Av. Rivadavia 7904 PB, EP y 1° Piso",NA,"4-272350,4-314740,4-314739","D1","av rivadavia 7904 pb ep y 1 piso","^([a-z ]*)([0-9]+)","av rivadavia  pb ep y 1 piso","7904 pb ep y 1 piso"
NA,NA,"Costa Rica N° 5673, PB y EP y 1° piso",NA,"4-252562","D1","costa rica 5673 pb y ep y 1 piso","^([a-z ]*)([0-9]+)","costa rica  pb y ep y 1 piso","5673 pb y ep y 1 piso"
NA,NA,"Pasteur Nº 331 PB/1º A 3º PISO UF 2,.",NA,"4-322253,4-322254,4-322502","D1","pasteur no 331 pb/1o a 3o piso uf 2","^([a-z ]*)([0-9]+)","pasteur no  pb/1o a 3o piso uf 2","331 pb/1o a 3o piso uf 2"
NA,NA,"Godoy Cruz N° 1752 PB y EP",NA,"4-274755","D1","godoy cruz 1752 pb y ep","^([a-z ]*)([0-9]+)","godoy cruz  pb y ep","1752 pb y ep"
NA,NA,"Guevara Nº 35/49/53 PB., sótano, 1° a 3° piso y azotea",NA,"4-313002,4-303960,4-313629,4-313628","D1","guevara no 35/49/53 pb sotano 1 a 3 piso y azotea","^([a-z ]*)([0-9]+)","guevara no /49/53 pb sotano 1 a 3 piso y azotea","35/49/53 pb sotano 1 a 3 piso y azotea"
NA,NA,"Misiones Nº 165/69 PB/1º, 2º Y 3º PISO",NA,"4-321862,4-322108,4-322109","D1","misiones no 165/69 pb/1o 2o y 3o piso","^([a-z ]*)([0-9]+)","misiones no /69 pb/1o 2o y 3o piso","165/69 pb/1o 2o y 3o piso"
NA,NA,"Av. Martín García (Isabel La Católica 2/4/6, Y OTRAS",NA,"4-315912","D1","av martin garcia (isabel la catolica 2/4/6 y otras","","av martin garcia (isabel la catolica 2/4/6 y otras","av martin garcia (isabel la catolica 2/4/6 y otras"
NA,NA,"Dr. Juan F. Aranguren 2972 PB.,",NA,"4-314614","D1","dr juan f aranguren 2972 pb","^([a-z ]*)([0-9]+)","dr juan f aranguren  pb","2972 pb"
NA,NA,"Cochabamba Nº 3401/3405, PB, UF 1.,",NA,"4-314869","D1","cochabamba no 3401/3405 pb uf 1","^([a-z ]*)([0-9]+)","cochabamba no /3405 pb uf 1","3401/3405 pb uf 1"
NA,NA,"Nicaragua N° 4346 PB y EP.,",NA,"4-048898","D1","nicaragua 4346 pb y ep","^([a-z ]*)([0-9]+)","nicaragua  pb y ep","4346 pb y ep"
NA,NA,"Av. Juan B. Justo 9200",NA,"4-148322","D1","av juan b justo 9200","^([a-z ]*)([0-9]+)","av juan b justo","9200"
NA,NA,"Av. Rivadavia N° 10412 PB.,",NA,"4-287740","D1","av rivadavia 10412 pb","^([a-z ]*)([0-9]+)","av rivadavia  pb","10412 pb"
NA,NA,"Quito Nº 3771/3773, PB., EP, 1º piso",NA,"4-315532","D1","quito no 3771/3773 pb ep 1o piso","^([a-z ]*)([0-9]+)","quito no /3773 pb ep 1o piso","3771/3773 pb ep 1o piso"
NA,NA,"Av. Regimiento de Patricios 1578 PB (UF 1",NA,"4-321177","D1","av regimiento de patricios 1578 pb (uf 1","^([a-z ]*)([0-9]+)","av regimiento de patricios  pb (uf 1","1578 pb (uf 1"
NA,NA,"Gral José Gervasio Artigas N° 389 PB/1° Piso",NA,"4-321488","D1","gral jose gervasio artigas 389 pb/1 piso","^([a-z ]*)([0-9]+)","gral jose gervasio artigas  pb/1 piso","389 pb/1 piso"
NA,NA,"Alvar Núñez 98, planta baja",NA,"4-303470,4-303471","D1","alvar nunez 98 planta baja","^([a-z ]*)([0-9]+)","alvar nunez  planta baja","98 planta baja"
NA,NA,"AV. Nazca N° 1193 PB.–unidad funcional N° 2,.",NA,"4-313616,4-313615,4-302745,4-302746","D1","av nazca 1193 pb-unidad funcional 2","^([a-z ]*)([0-9]+)","av nazca  pb-unidad funcional 2","1193 pb-unidad funcional 2"
NA,NA,"Av. Rivadavia 5000, planta baja y planta alta",NA,"4-315089","D1","av rivadavia 5000 planta baja y planta alta","^([a-z ]*)([0-9]+)","av rivadavia  planta baja y planta alta","5000 planta baja y planta alta"
NA,NA,"Estado Plurinacional de Bolivia N° 417 PB.,",NA,"4-287549","D1","estado plurinacional de bolivia 417 pb","^([a-z ]*)([0-9]+)","estado plurinacional de bolivia  pb","417 pb"
NA,NA,"BONPLAND 1939 pb/subsuelo",NA,"","D1","bonpland 1939 pb/subsuelo","^([a-z ]*)([0-9]+)","bonpland  pb/subsuelo","1939 pb/subsuelo"
NA,NA,"Florida 202/218, planta baja, subsuelo y 1° piso",NA,"","D1","florida 202/218 planta baja subsuelo y 1 piso","^([a-z ]*)([0-9]+)","florida /218 planta baja subsuelo y 1 piso","202/218 planta baja subsuelo y 1 piso"
NA,NA,"Tomas de Anchorena N° 1536 PB, 1°, 2° y 3° piso, azotea",NA,"","D1","tomas de anchorena 1536 pb 1 2 y 3 piso azotea","^([a-z ]*)([0-9]+)","tomas de anchorena  pb 1 2 y 3 piso azotea","1536 pb 1 2 y 3 piso azotea"
NA,NA,"Lisboa 654, planta baja,.",NA,"","D1","lisboa 654 planta baja","^([a-z ]*)([0-9]+)","lisboa  planta baja","654 planta baja"
NA,NA,"Margariños Cervantes N° 4817 PB/PA",NA,"","D1","margarinos cervantes 4817 pb/pa","^([a-z ]*)([0-9]+)","margarinos cervantes  pb/pa","4817 pb/pa"
NA,NA,"Av. Eva Perón 4007, planta baja, sótano y azotea",NA,"","D1","av eva peron 4007 planta baja sotano y azotea","^([a-z ]*)([0-9]+)","av eva peron  planta baja sotano y azotea","4007 planta baja sotano y azotea"
NA,NA,"Bartolomé Mitre 3677/81/83, PB y 1° piso",NA,"","D1","bartolome mitre 3677/81/83 pb y 1 piso","^([a-z ]*)([0-9]+)","bartolome mitre /81/83 pb y 1 piso","3677/81/83 pb y 1 piso"
NA,NA,"Colonia (Luna 482/492) N° 469, planta baja",NA,"","D1","colonia (luna 482/492) 469 planta baja","","colonia (luna 482/492) 469 planta baja","colonia (luna 482/492) 469 planta baja"
NA,NA,"Helguera 49, planta baja",NA,"4-321805,4-315160,4-315159,4-321806","D1","helguera 49 planta baja","^([a-z ]*)([0-9]+)","helguera  planta baja","49 planta baja"
NA,NA,"Montes de Oca Nº 1385 PB UF 1.,",NA,"4-323326","D1","montes de oca no 1385 pb uf 1","^([a-z ]*)([0-9]+)","montes de oca no  pb uf 1","1385 pb uf 1"
NA,NA,"Tucumán 313, 1° y 2° SS, PB, 1° a 8° Piso",NA,"4-321489,4-315555","D1","tucuman 313 1 y 2 ss pb 1 a 8 piso","^([a-z ]*)([0-9]+)","tucuman  1 y 2 ss pb 1 a 8 piso","313 1 y 2 ss pb 1 a 8 piso"
NA,NA,"Dr. Pedro I. Rivera N° 2909 PB., PA. y EPS. s/PB. y PA.,",NA,"4-272397,4-272398","D1","dr pedro i rivera 2909 pb pa y eps s/pb y pa","^([a-z ]*)([0-9]+)","dr pedro i rivera  pb pa y eps s/pb y pa","2909 pb pa y eps s/pb y pa"
NA,NA,"Av. Regimientos Patricios 825, PB, UF 2.",NA,"4-313999","D1","av regimientos patricios 825 pb uf 2","^([a-z ]*)([0-9]+)","av regimientos patricios  pb uf 2","825 pb uf 2"
NA,NA,"Plaza 3837/3839 PB y PA,.",NA,"4-323352,4-323353","D1","plaza 3837/3839 pb y pa","^([a-z ]*)([0-9]+)","plaza /3839 pb y pa","3837/3839 pb y pa"
NA,NA,"JEAN JAURES 947/49, planta baja",NA,"4-322492","D1","jean jaures 947/49 planta baja","^([a-z ]*)([0-9]+)","jean jaures /49 planta baja","947/49 planta baja"
NA,NA,"Reservistas Argentinos N° 219 PB.,",NA,"4-315738,4-315737,4-322203","D1","reservistas argentinos 219 pb","^([a-z ]*)([0-9]+)","reservistas argentinos  pb","219 pb"
NA,NA,"CURAPALIGUE 1642/46, planta baja.,",NA,"4-322752,4-322751,4-314247","D1","curapaligue 1642/46 planta baja","^([a-z ]*)([0-9]+)","curapaligue /46 planta baja","1642/46 planta baja"
NA,NA,"Báez Nº 252 PB",NA,"4-274815","D1","baez no 252 pb","^([a-z ]*)([0-9]+)","baez no  pb","252 pb"
NA,NA,"Sarmiento Nº 2906 PB/EPS/1º Y 2º PISO/AZOTEA",NA,"4-315533,4-315534,4-315535,4-315536,4-321585,4-321586,4-313362","D1","sarmiento no 2906 pb/eps/1o y 2o piso/azotea","^([a-z ]*)([0-9]+)","sarmiento no  pb/eps/1o y 2o piso/azotea","2906 pb/eps/1o y 2o piso/azotea"
NA,NA,"Echeverria N° 3054 PB, PA",NA,"4-302056,4-313771","D1","echeverria 3054 pb pa","^([a-z ]*)([0-9]+)","echeverria  pb pa","3054 pb pa"
NA,NA,"AV. San Juan N° 2360 PB., EP. y 1° piso",NA,"4-313814,4-313815,4-313816","D1","av san juan 2360 pb ep y 1 piso","^([a-z ]*)([0-9]+)","av san juan  pb ep y 1 piso","2360 pb ep y 1 piso"
NA,NA,"Puán N° 1928 PB/EP",NA,"4-315741,4-315740,4-315739,4-321757","D1","puan 1928 pb/ep","^([a-z ]*)([0-9]+)","puan  pb/ep","1928 pb/ep"
NA,NA,"Puán N° 1932 1° piso",NA,"4-321758,4-315742","D1","puan 1932 1 piso","^([a-z ]*)([0-9]+)","puan  1 piso","1932 1 piso"
NA,NA,"Toll N° 2755 y Olavarría N° 2264 PB.,",NA,"4-322977,4-322980,4-322979,4-322978","D1","toll 2755 y olavarria 2264 pb","^([a-z ]*)([0-9]+)","toll  y olavarria 2264 pb","2755 y olavarria 2264 pb"
NA,NA,"Av. San Juan N° 2240 PB, PA",NA,"4-314871,4-314173,4-314172","D1","av san juan 2240 pb pa","^([a-z ]*)([0-9]+)","av san juan  pb pa","2240 pb pa"
NA,NA,"Av. Gaona 1297/99 PB y sótano, unidad funcional 1",NA,"4-314197","D1","av gaona 1297/99 pb y sotano unidad funcional 1","^([a-z ]*)([0-9]+)","av gaona /99 pb y sotano unidad funcional 1","1297/99 pb y sotano unidad funcional 1"
NA,NA,"Av. Juan B. Justo 6497 PB",NA,"4-315090","D1","av juan b justo 6497 pb","^([a-z ]*)([0-9]+)","av juan b justo  pb","6497 pb"
NA,NA,"Chile 1316/20, planta baja",NA,"4-323355,4-323354","D1","chile 1316/20 planta baja","^([a-z ]*)([0-9]+)","chile /20 planta baja","1316/20 planta baja"
NA,NA,"Marcelo T. de Alvear 1256, planta baja y entre piso, unidad funcional 1",NA,"4-048805,4-048806","D1","marcelo t de alvear 1256 planta baja y entre piso unidad funcional 1","^([a-z ]*)([0-9]+)","marcelo t de alvear  planta baja y entre piso unidad funcional 1","1256 planta baja y entre piso unidad funcional 1"
NA,NA,"Caracas Nº 1854 PB FONDO,.",NA,"4-321759,4-315743","D1","caracas no 1854 pb fondo","^([a-z ]*)([0-9]+)","caracas no  pb fondo","1854 pb fondo"
NA,NA,"O´Brien Nº 1170 PB. y sótano",NA,"4-273575","D1","obrien no 1170 pb y sotano","^([a-z ]*)([0-9]+)","obrien no  pb y sotano","1170 pb y sotano"
NA,NA,"O´Brien Nº 1219, PB",NA,"4-287719,4-287720,4-287721","D1","obrien no 1219 pb","^([a-z ]*)([0-9]+)","obrien no  pb","1219 pb"
NA,NA,"Condarco Nº 336 PB. –unidad funcional Nº 1",NA,"4-288570","D1","condarco no 336 pb -unidad funcional no 1","^([a-z ]*)([0-9]+)","condarco no  pb -unidad funcional no 1","336 pb -unidad funcional no 1"
NA,NA,"Constitución 1368, PB",NA,"4-289589,4-289590","D1","constitucion 1368 pb","^([a-z ]*)([0-9]+)","constitucion  pb","1368 pb"
NA,NA,"Honduras N° 5624 PB, PA.,",NA,"4-321328","D1","honduras 5624 pb pa","^([a-z ]*)([0-9]+)","honduras  pb pa","5624 pb pa"
NA,NA,"Camarones N° 3051 PB, EP, 1°,.",NA,"4-314872,4-314873,4-314874","D1","camarones 3051 pb ep 1","^([a-z ]*)([0-9]+)","camarones  pb ep 1","3051 pb ep 1"
NA,NA,"Av. Segurola N° 2517 PB",NA,"4-322205,4-315289","D1","av segurola 2517 pb","^([a-z ]*)([0-9]+)","av segurola  pb","2517 pb"
NA,NA,"Terrada N° 475/77 PB",NA,"4-315919","D1","terrada 475/77 pb","^([a-z ]*)([0-9]+)","terrada /77 pb","475/77 pb"
NA,NA,"Viamonte Nº 2335, PB.,1º, 2º piso, EP. y azotea",NA,"4-321589","D1","viamonte no 2335 pb1o 2o piso ep y azotea","^([a-z ]*)([0-9]+)","viamonte no  pb1o 2o piso ep y azotea","2335 pb1o 2o piso ep y azotea"
NA,NA,"Humboldt N° 1868/70 PB y EP,.",NA,"4-287837","D1","humboldt 1868/70 pb y ep","^([a-z ]*)([0-9]+)","humboldt /70 pb y ep","1868/70 pb y ep"
NA,NA,"QUINTINO BOCAYUVA 1784, planta baja",NA,"4-313912","D1","quintino bocayuva 1784 planta baja","^([a-z ]*)([0-9]+)","quintino bocayuva  planta baja","1784 planta baja"
NA,NA,"Salta 1440 EP, PB y Sótano",NA,"4-287723","D1","salta 1440 ep pb y sotano","^([a-z ]*)([0-9]+)","salta  ep pb y sotano","1440 ep pb y sotano"
NA,NA,"Quirno N° 37 PB,.",NA,"4-315917,4-315918","D1","quirno 37 pb","^([a-z ]*)([0-9]+)","quirno  pb","37 pb"
NA,NA,"Bartolomé Mitre Nº 1263 PB/SS",NA,"4-315493,4-315494,4-315495","D1","bartolome mitre no 1263 pb/ss","^([a-z ]*)([0-9]+)","bartolome mitre no  pb/ss","1263 pb/ss"
NA,NA,"Pavón 1249, planta baja",NA,"4-287724","D1","pavon 1249 planta baja","^([a-z ]*)([0-9]+)","pavon  planta baja","1249 planta baja"
NA,NA,"Saráchaga 5511, planta baja",NA,"4-323327","D1","sarachaga 5511 planta baja","^([a-z ]*)([0-9]+)","sarachaga  planta baja","5511 planta baja"
NA,NA,"Salcedo 3969/71, PB y 1° piso",NA,"4-321884,4-321885","D1","salcedo 3969/71 pb y 1 piso","^([a-z ]*)([0-9]+)","salcedo /71 pb y 1 piso","3969/71 pb y 1 piso"
NA,NA,"Arroyo N° 872 PB/Sótano",NA,"4-048620,4-048900,4-048899","D1","arroyo 872 pb/sotano","^([a-z ]*)([0-9]+)","arroyo  pb/sotano","872 pb/sotano"
NA,NA,"Av. Pedro Goyena N° 1064 PB y PA.,",NA,"4-075823,4-322730,4-322729","D1","av pedro goyena 1064 pb y pa","^([a-z ]*)([0-9]+)","av pedro goyena  pb y pa","1064 pb y pa"
NA,NA,"Av. San Pedrito N° 544/6 PB",NA,"4-314063","D1","av san pedrito 544/6 pb","^([a-z ]*)([0-9]+)","av san pedrito /6 pb","544/6 pb"
NA,NA,"Av. Rivadavia N° 7602 PB y EP",NA,"4-313966","D1","av rivadavia 7602 pb y ep","^([a-z ]*)([0-9]+)","av rivadavia  pb y ep","7602 pb y ep"
NA,NA,"Cochabamba Nº 444 PB",NA,"4-315560","D1","cochabamba no 444 pb","^([a-z ]*)([0-9]+)","cochabamba no  pb","444 pb"
NA,NA,"Av. Álvarez Thomas N° 487/499 y Olleros N° 3498",NA,"4-302306,4-302307","D1","av alvarez thomas 487/499 y olleros 3498","^([a-z ]*)([0-9]+)","av alvarez thomas /499 y olleros 3498","487/499 y olleros 3498"
NA,NA,"Av. Juan de Garay N° 980 PB y ST",NA,"4-301752","D1","av juan de garay 980 pb y st","^([a-z ]*)([0-9]+)","av juan de garay  pb y st","980 pb y st"
NA,NA,"Honduras 5090, PB, PP y 2° piso",NA,"4-048937","D1","honduras 5090 pb pp y 2 piso","^([a-z ]*)([0-9]+)","honduras  pb pp y 2 piso","5090 pb pp y 2 piso"
NA,NA,"Raulíes N° 1926 PB. y 1° piso",NA,"4-315169,4-322559,4-315168,4-315167,4-322560,4-322430","D1","raulies 1926 pb y 1 piso","^([a-z ]*)([0-9]+)","raulies  pb y 1 piso","1926 pb y 1 piso"
